           1
           1 (-2.974204849966150E-016,4.149960025733867E-016)
 (0.000000000000000E+000,0.000000000000000E+000)
           2 (-2.712364057092191E-002,2.601338976076761E-002)
 (0.000000000000000E+000,0.000000000000000E+000)
           3 (-3.234929253550356E-003,3.102514033902833E-003)
 (0.000000000000000E+000,0.000000000000000E+000)
           4 (3.234929253550305E-003,-3.102514033902759E-003)
 (0.000000000000000E+000,0.000000000000000E+000)
           5 (2.712364057092156E-002,-2.601338976076712E-002)
 (0.000000000000000E+000,0.000000000000000E+000)
           6 (2.088520325069898E-007,-4.489638166646578E-006)
 (0.000000000000000E+000,0.000000000000000E+000)
           7 (-2.300304227891122E-003,2.205697716975337E-003)
 (0.000000000000000E+000,0.000000000000000E+000)
           8 (1.177740814747555E-002,-1.129659620740729E-002)
 (0.000000000000000E+000,0.000000000000000E+000)
           9 (2.712392589250333E-002,-2.601952324506731E-002)
 (0.000000000000000E+000,0.000000000000000E+000)
          10 (2.716380638053176E-002,2.605327024879603E-002)
 (0.000000000000000E+000,0.000000000000000E+000)
          11 (8.720190996817111E-006,1.130392302185442E-002)
 (0.000000000000000E+000,0.000000000000000E+000)
          12 (6.453123381996695E-003,-2.203116536216411E-003)
 (0.000000000000000E+000,0.000000000000000E+000)
          13 (3.973777070376922E-002,2.919204674065439E-005)
 (0.000000000000000E+000,0.000000000000000E+000)
          14 (-2.716352105895035E-002,-2.605940373309569E-002)
 (0.000000000000000E+000,0.000000000000000E+000)
          15 (-1.178600463376019E-002,-9.989855295282278E-006)
 (0.000000000000000E+000,0.000000000000000E+000)
          16 (2.297275698188726E-003,-6.189551092672988E-003)
 (0.000000000000000E+000,0.000000000000000E+000)
          17 (-2.919204674062038E-005,-3.811667050053553E-002)
 (0.000000000000000E+000,0.000000000000000E+000)
          18 (2.716352105895001E-002,2.605940373309619E-002)
 (0.000000000000000E+000,0.000000000000000E+000)
          19 (2.919204674033923E-005,3.811667050053597E-002)
 (0.000000000000000E+000,0.000000000000000E+000)
          20 (-2.297275698188791E-003,6.189551092673079E-003)
 (0.000000000000000E+000,0.000000000000000E+000)
          21 (1.178600463376004E-002,9.989855295464341E-006)
 (0.000000000000000E+000,0.000000000000000E+000)
          22 (-2.716380638053211E-002,-2.605327024879550E-002)
 (0.000000000000000E+000,0.000000000000000E+000)
          23 (-3.973777070376951E-002,-2.919204674026290E-005)
 (0.000000000000000E+000,0.000000000000000E+000)
          24 (-6.453123381996768E-003,2.203116536216490E-003)
 (0.000000000000000E+000,0.000000000000000E+000)
          25 (-8.720190996948440E-006,-1.130392302185421E-002)
 (0.000000000000000E+000,0.000000000000000E+000)
          26 (-2.088520327960177E-007,4.489638167058452E-006)
 (0.000000000000000E+000,0.000000000000000E+000)
          27 (-2.712392589250368E-002,2.601952324506778E-002)
 (0.000000000000000E+000,0.000000000000000E+000)
          28 (-1.177740814747568E-002,1.129659620740746E-002)
 (0.000000000000000E+000,0.000000000000000E+000)
          29 (2.300304227891055E-003,-2.205697716975247E-003)
 (0.000000000000000E+000,0.000000000000000E+000)
          30 (2.303754298101999E-003,2.209079937198211E-003)
 (0.000000000000000E+000,0.000000000000000E+000)
          31 (6.453147579813197E-003,-2.203636710423817E-003)
 (0.000000000000000E+000,0.000000000000000E+000)
